PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;9;14;64%
02MaxMin;ds.MaxMin1;8;8;100%;17;21;81%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;50;62;81%
05Ordenacao;ds.Ordenacao;10;10;100%;14;20;70%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;35;42;83%
09Ordenacao;ds.Ordenacao;16;16;100%;54;56;96%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;36;79;46%
11ListArray;ds.Lista;12;12;100%;24;31;77%
12Lista;ds.Lista;12;12;100%;22;23;96%
13Pilha;ds.Pilha;12;12;100%;26;31;84%
14Pilha;ds.Pilha;17;17;100%;26;31;84%
15Fila;ds.Fila;19;19;100%;34;43;79%
16Fila;ds.Fila;23;23;100%;29;37;78%
17Ordenacao;ds.Ordenacao;48;48;100%;98;139;71%
18FPHeapMax;ds.FPHeapMax;40;40;100%;71;117;61%
19FPHeapMin;ds.FPHeapMin;42;42;100%;120;120;100%
20Tabela;ds.Tabela;21;21;100%;44;57;77%
21ArvoreBinaria;ds.ArvoreBinaria;41;48;85%;138;160;86%
22TabelaHash;ds.TabelaHash;35;35;100%;84;89;94%
23TabelaHash;ds.TabelaHash;52;52;100%;139;166;84%
24Grafo;ds.Grafo;40;42;95%;83;143;58%
25Grafo;ds.Grafo;34;34;100%;89;109;82%
26Grafo;ds.Grafo;50;51;98%;126;127;99%
27Grafo;ds.Grafo;33;33;100%;88;108;81%
28BuscaEmLargura;ds.Grafo;33;33;100%;88;108;81%
29Grafo;ds.Grafo;33;33;100%;88;108;81%
30Lista;ds.AgmPrim;32;32;100%;32;76;42%
31CasamentoExato;ds.CasamentoExato;40;40;100%;120;205;59%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;86;40%
33Identifier;ds.Identifier;22;22;100%;76;114;67%
