ID,#Classes,#Methods,NCSS,Max CC,Avg CC
1,1,1,8,3,"3,0"
2,1,1,13,4,"4,0"
3,1,1,14,4,"4,0"
4,1,1,32,9,"9,0"
5,1,1,11,4,"4,0"
6,1,1,8,2,"2,0"
7,1,1,8,2,"2,0"
8,1,1,26,5,"5,0"
9,1,2,22,6,"4,0"
10,1,1,18,6,"6,0"
11,1,4,20,3,"1,8"
12,2,4,23,2,"1,3"
13,1,5,20,3,"1,8"
14,2,5,27,3,"1,4"
15,1,5,24,3,"2,0"
16,2,5,32,3,"1,6"
17,2,7,74,6,"3,4"
18,1,9,59,5,"2,7"
19,1,10,62,5,"2,5"
20,1,4,32,8,"3,5"
21,2,11,85,7,"3,0"
22,2,10,61,5,"2,1"
23,2,12,88,7,"3,2"
24,1,9,60,5,"2,9"
25,3,16,66,4,"1,6"
26,2,14,88,6,"2,2"
27,3,16,65,4,"1,6"
28,3,16,65,4,"1,6"
29,3,16,65,4,"1,6"
30,1,5,40,7,"2,6"
31,1,4,55,8,"6,3"
32,1,1,24,7,"7,0"
